message,selected_messages,sentiment
i really enjoyed the movie,really enjoyed movie,positive
the food was terrible,food terrible,negative
im not sure how i feel about this,im sure feel,neutral
the service was excellent,service excellent,positive
i had a bad experience,bad experience,negative
this is a great product,great product,positive
i wouldnt recommend this,wouldnt recommend,negative
the price is a bit high,price bit high,neutral
the weather is perfect today,weather perfect today,positive
the traffic is horrible,traffic horrible,negative
im feeling neutral about this,im feeling neutral,neutral
the concert was amazing,concert amazing,positive
the customer service was terrible,customer service terrible,negative
this book is a masterpiece,book masterpiece,positive
i regret buying this product,regret buying product,negative
the view from here is breathtaking,view breathtaking,positive
i dont know what to think about this,dont know think,neutral
the internet speed is slow,internet speed slow,negative
the museum was fascinating,museum fascinating,positive
the noise level is too high,noise level high,negative
i dont have an opinion on this,dont opinion,neutral
the hotel room was spacious and clean,hotel room spacious clean,positive
the service at this restaurant was awful,service restaurant awful,negative
this software is very userfriendly,software userfriendly,positive
the quality of the product is poor,quality product poor,negative
i dont really care about this,dont really care,neutral
the beach was crowded,beach crowded,negative
this is an excellent company to work for,excellent company work,positive
the movie was a waste of time,movie waste time,negative
im undecided about this,im undecided,neutral
the game was a complete disaster,game complete disaster,negative
the scenery here is beautiful,scenery beautiful,positive
the speaker was very engaging,speaker engaging,positive
i had a great time,great time,positive
this product is overpriced,product overpriced,negative
im indifferent to this,im indifferent,neutral
the performance was outstanding,performance outstanding,positive
the car broke down on the highway,car broke highway,negative
i dont have strong feelings about this,dont strong feelings,neutral
the food was delicious,food delicious,positive
the service at this hotel was terrible,service hotel terrible,negative
this phone is amazing,phone amazing,positive
im not impressed with this,im impressed,negative
i have mixed feelings about this,mixed feelings,neutral
the weather is terrible today,weather terrible today,negative
the book was a disappointment,book disappointment,negative
i dont care one way or the other,dont care one way,neutral
the hike was exhausting,hike exhausting,negative
this is a fantastic product,fantastic product,positive
i dont know what to make of this,dont know make,neutral
the customer service was great,customer service great,positive
the noise level is tolerable,noise level tolerable,neutral
the hotel room was dirty and cramped,hotel room dirty cramped,negative
im very pleased with this,im pleased,positive
the traffic is light,traffic light,positive
this movie was boring,movie boring,negative
i have no opinion on this,opinion,neutral
the beach was beautiful,beach beautiful,positive
the food was average,food average,neutral
i regret wasting my money on this product,regret wasting money product,negative
the view from here is average,view average,neutral
the museum was boring,museum boring,negative
i dont really care about this topic,dont really care topic,neutral
the hotel was noisy at night,hotel noisy night,negative
this software is difficult to use,software difficult use,negative
the game was exciting,game exciting,positive
the speaker was boring,speaker boring,negative
i didnt enjoy this at all,didnt enjoy,negative
the car is in great condition,car great condition,positive
im not sure what to think about this,im sure think,neutral
the service at this restaurant was excellent,service restaurant excellent,positive
the scenery here is average,scenery average,neutral
this company is terrible,company terrible,negative
the movie was great,movie great,positive
im not satisfied with this product,im satisfied product,negative
i have no strong feelings about this,strong feelings,neutral
the weather is wonderful today,weather wonderful today,positive
the book was amazing,book amazing,positive
i dont have a preference,dont preference,neutral
the hike was refreshing,hike refreshing,positive
this is a terrible product,terrible product,negative
the performance was mediocre,performance mediocre,neutral
im not sure if i like this,im sure like,neutral
the food was not very good,food good,negative
the service at this hotel was great,service hotel great,positive
this phone is not very userfriendly,phone userfriendly,negative
im impressed with this,im impressed,positive
the traffic is moderate,traffic moderate,neutral
this movie was entertaining,movie entertaining,positive
i have no interest in this,interest,neutral
the beach was peaceful,beach peaceful,positive
the food was outstanding,food outstanding,positive
i regret not buying this product,regret buying product,positive
